ubigeo,periodo,departamento,provincia,distrito,ranking,irsip,nivel,percentil,rezago_conflictos,ejecucion_pct,canon_pc,mineria_pc,monto_canon,canon_12m,pim_canon,devengado_canon,mineria_12m,poblacion,n_rezago_conflictos,n_ejecucion_canon,n_canon_pc,n_mineria_pc,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria,irsip_bruto
210501,2026-02-01,Puno,El Collao,Ilave,306,29.09,Bajo,83.8,1,2.4463426163602984,228.39473410417258,0,604793.43,10449287.48,18389799,449877.49,0,45751,0.125,0.5187731359069275,0.45966890498529894,0,0.076375,-0.0866351136964569,0.051023248453368183,0,0.040763134756911276
151033,2026-02-01,Lima,Yauyos,Vitis,307,29.08,Bajo,83.8,0,0,75.09892682926844,0,2508.44,15395.280000000028,90202,0,0,205,0,0,0.3663548568537455,0,0,-0,0.040665389110765754,0,0.040665389110765754
130102,2026-02-01,La Libertad,Trujillo,El Porvenir,308,29.05,Bajo,83.7,0,0,73.32423457936412,0,584086.04,10029362.130000003,17234598,0,0,136781,0,0,0.3643592794920512,0,0,-0,0.040443880023617686,0,0.040443880023617686
190101,2026-02-01,Pasco,Pasco,Chaupimarca,309,29.05,Bajo,83.7,1,2.978076376495226,456.1786121992167,0,1022523.05,11412676.520000003,21453616,638905.07,0,25018,0.125,0.5594923320994183,0.5179900664451269,0,0.076375,-0.09343521946060286,0.057496897375409084,0,0.04043667791480622
090722,2026-02-01,Huancavelica,Tayacaja,Pichos,310,29.03,Bajo,83.6,0,0,72.27433878157504,0,7379.78,97281.26000000001,1569402,0,0,1346,0,0,0.36315615258697365,0,0,-0,0.040310332937154074,0,0.040310332937154074
120122,2026-02-01,Junín,Huancayo,Ingenio,311,29.03,Bajo,83.6,0,0,72.27996887505554,0,5931.01,162557.6499999999,348025,0,0,2249,0,0,0.3631626502486448,0,0,-0,0.04031105417759957,0,0.04031105417759957
090202,2026-02-01,Huancavelica,Acobamba,Andabamba,312,29.01,Bajo,83.5,0,0,71.41466501240694,0,12868.06,172680.65999999997,1359376,0,0,2418,0,0,0.36215810323095277,0,0,-0,0.040199549458635755,0,0.040199549458635755
081302,2026-02-01,Cusco,Urubamba,Chinchero,313,29,Bajo,83.5,1,1.9412811192550332,110.46809020968468,0,106731.03000000001,1464585.9399999995,8288799,160908.88999999998,0,13258,0.125,0.48228450555261765,0.3986351165661629,0,0.076375,-0.08054151242728715,0.044248497938844084,0,0.040081985511556936
120909,2026-02-01,Junín,Chupaca,Yanacancha,314,28.99,Bajo,83.4,0,0,70.23787300177618,0,5727.11,158175.68999999994,560937,0,0,2252,0,0,0.3607725085762295,0,0,-0,0.040045748451961474,0,0.040045748451961474
050905,2026-02-01,Ayacucho,Sucre,Huacaña,315,28.97,Bajo,83.4,0,0,68.94934853420195,0,1803.6399999999999,21167.449999999997,36109,0,0,307,0,0,0.35922885653252906,0,0,-0,0.039874403075110726,0,0.039874403075110726
050902,2026-02-01,Ayacucho,Sucre,Belén,316,28.93,Bajo,83.3,0,0,67.16156363636367,0,1529.22,18469.430000000008,157415,0,0,275,0,0,0.35703932297491336,0,0,-0,0.039631364850215386,0,0.039631364850215386
120127,2026-02-01,Junín,Huancayo,Quichuay,317,28.93,Bajo,83.3,0,0,66.82417448923248,0,4504.79,121018.58000000002,410962,0,0,1811,0,0,0.356619681202265,0,0,-0,0.03958478461345141,0,0.03958478461345141
130107,2026-02-01,La Libertad,Trujillo,Moche,318,28.93,Bajo,83.2,0,0,67.15499719317214,0,188857.53,3229953.9000000004,6360345,0,0,48097,0,0,0.3570311755259739,0,0,-0,0.039630460483383104,0,0.039630460483383104
120132,2026-02-01,Junín,Huancayo,Saño,319,28.9,Bajo,83.2,0,0,65.7434600979545,0,17013.37,456391.1000000001,1648592,0,0,6942,0,0,0.35526130604693,0,0,-0,0.03943400497120923,0,0.03943400497120923
090203,2026-02-01,Huancavelica,Acobamba,Anta,320,28.89,Bajo,83.1,0,0,65.02607383627607,0,15143.5,202556.21999999997,1955950,0,0,3115,0,0,0.3543474055205424,0,0,-0,0.03933256201278021,0,0.03933256201278021
120413,2026-02-01,Junín,Jauja,Leonor Ordóñez,321,28.89,Bajo,83.1,0,0,64.94905844155844,0,3770.67,100021.54999999999,460558,0,0,1540,0,0,0.35424870360864497,0,0,-0,0.03932160610055959,0,0.03932160610055959
051103,2026-02-01,Ayacucho,Vilcas Huamán,Carhuanca,322,28.88,Bajo,83,0,0,64.26763852242743,0,34.199999999999996,48714.869999999995,134242,0,0,758,0,0,0.35337034936541356,0,0,-0,0.0392241087795609,0,0.0392241087795609
090107,2026-02-01,Huancavelica,Huancavelica,Huayllahuara,323,28.86,Bajo,82.9,0,0,63.642100694444444,0,2973.13,36657.85,254611,0,0,576,0,0,0.35255591648330303,0,0,-0,0.03913370672964664,0,0.03913370672964664
120211,2026-02-01,Junín,Concepción,Mito,324,28.86,Bajo,82.9,0,0,63.46530453257791,0,3269.35,89613.01000000001,206143,0,0,1412,0,0,0.35232430396565734,0,0,-0,0.039107997740187965,0,0.039107997740187965
150906,2026-02-01,Lima,Oyón,Pachangara,325,28.85,Bajo,82.8,2,35.520193229851174,283.2261854684511,0,55458.6,592509.1799999997,2815300,1000000,0,2092,0.25,0.9984135378106822,0.47779420237856113,0,0.15275,-0.16673506081438394,0.05303515646402029,0,0.039050095649636345
120106,2026-02-01,Junín,Huancayo,Chicche,326,28.81,Bajo,82.8,0,0,61.08768946395564,0,1207.25,33048.44,177505,0,0,541,0,0,0.3491462570647353,0,0,-0,0.03875523453418562,0,0.03875523453418562
120117,2026-02-01,Junín,Huancayo,Hualhuas,327,28.81,Bajo,82.7,0,0,61.30658252427183,0,14036.289999999999,378874.67999999993,1057371,0,0,6180,0,0,0.3494438839332228,0,0,-0,0.03878827111658773,0,0.03878827111658773
120212,2026-02-01,Junín,Concepción,Nueve de Julio,328,28.8,Bajo,82.7,0,0,60.67592426850256,0,6464.99,176263.55999999994,521911,0,0,2905,0,0,0.34858352931498676,0,0,-0,0.03869277175396353,0,0.03869277175396353
120904,2026-02-01,Junín,Chupaca,Huachac,329,28.8,Bajo,82.6,0,0,60.786330645161286,0,5934.22,165825.11,641339,0,0,2728,0,0,0.34873478097323435,0,0,-0,0.03870956068802901,0,0.03870956068802901
040303,2026-02-01,Arequipa,Caravelí,Atico,330,28.78,Bajo,82.6,1,4.905668455597579,874.32318430792,6.994192397609859,283235.37,5906053.109999999,15508704,368546.79,47245.7696458546,6755,0.125,0.6927551560021152,0.5729190995399407,0.12823412915497348,0.076375,-0.11569011105235324,0.06359402004893341,0.014233988336202057,0.03851289733278222
090109,2026-02-01,Huancavelica,Huancavelica,Laria,331,28.75,Bajo,82.5,0,0,58.35610108303249,0,2685.16,32329.28,203803,0,0,554,0,0,0.34534126921712605,0,0,-0,0.038332880883100995,0,0.038332880883100995
051107,2026-02-01,Ayacucho,Vilcas Huamán,Saurama,332,28.74,Bajo,82.5,0,0,58.04966014418129,0,4840.63,56366.22000000003,306286,0,0,971,0,0,0.3449035304645783,0,0,-0,0.03828429188156819,0,0.03828429188156819
120213,2026-02-01,Junín,Concepción,Orcotuna,333,28.74,Bajo,82.4,0,0,57.968208326014405,0,12365.25,330013.01,794700,0,0,5693,0,0,0.34478679759497477,0,0,-0,0.0382713345330422,0,0.0382713345330422
200204,2026-02-01,Piura,Ayabaca,Lagunas,334,28.72,Bajo,82.4,0,0,56.868518317011244,0,605.08,313573.01,2200828,0,0,5514,0,0,0.34319479489578636,0,0,-0,0.03809462223343229,0,0.03809462223343229
061307,2026-02-01,Cajamarca,Santa Cruz,Pulan,335,28.71,Bajo,82.3,0,1.1079521119725382,307.59375928677565,1252.2580702468365,203722.82,1035053,1881890,20850.44,4213848.406380605,3365,0,0.3870967741935484,0.4847504387567492,0.4400594882774147,0,-0.06464516129032258,0.053807298701999164,0.04884660319879303,0.03800874061046962
120428,2026-02-01,Junín,Jauja,San Lorenzo,336,28.67,Bajo,82.3,0,0,54.781273395721946,0,6501.429999999999,163905.57000000007,720589,0,0,2992,0,0,0.3400881352174312,0,0,-0,0.03774978300913486,0,0.03774978300913486
120201,2026-02-01,Junín,Concepción,Concepción,337,28.66,Bajo,82.2,0,0,54.40050535987749,0,36086.740000000005,959135.31,3680617,0,0,17631,0,0,0.33950888175280575,0,0,-0,0.03768548587456144,0,0.03768548587456144
050302,2026-02-01,Ayacucho,Huanca Sancos,Carapo,338,28.62,Bajo,82.2,0,0,52.787626800250486,0,7161.81,84301.84000000003,140232,0,0,1597,0,0,0.3370102750607356,0,0,-0,0.03740814053174165,0,0.03740814053174165
120125,2026-02-01,Junín,Huancayo,Pilcomayo,339,28.62,Bajo,82.1,0,0,52.747609149079054,0,56100.48,1492071.6199999992,4764493,0,0,28287,0,0,0.33694733300862373,0,0,-0,0.03740115396395723,0,0.03740115396395723
120129,2026-02-01,Junín,Huancayo,San Agustín,340,28.6,Bajo,82,0,0,51.88644019181643,0,42470.95,1157742.1400000001,3427857,0,0,22313,0,0,0.3355813604240288,0,0,-0,0.037249531007067196,0,0.037249531007067196
021807,2026-02-01,Áncash,Santa,Samanco,341,28.59,Bajo,82,1,3.6156940692840283,807.294998195597,0,358003.62,4474028.879999999,7526410,207563.16,0,5542,0.125,0.6107879428873612,0.5661818358585478,0,0.076375,-0.10200158646218932,0.0628461837802988,0,0.037219597318109476
120104,2026-02-01,Junín,Huancayo,Carhuacallanga,342,28.59,Bajo,81.9,0,0,51.70436170212765,0,764.29,19440.839999999997,166287,0,0,376,0,0,0.33528970298301924,0,0,-0,0.03721715703111514,0,0.03721715703111514
120421,2026-02-01,Junín,Jauja,Muquiyauyo,343,28.53,Bajo,81.9,0,0,49.22363994743758,0,314.72999999999996,112377.57,604797,0,0,2283,0,0,0.3312124401985544,0,0,-0,0.036764580862039535,0,0.036764580862039535
