ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
010101,2019-01-01,NA,NA,NA,-0,NA,NA
010101,2019-02-01,NA,NA,0,-0,NA,NA
010101,2019-03-01,NA,NA,0,-0.15610481283422462,NA,NA
010101,2019-04-01,NA,NA,0,-0.10359358288770054,NA,NA
010101,2019-05-01,NA,NA,0,-0.0812673796791444,NA,NA
010101,2019-06-01,NA,NA,0,-0.05304705882352941,NA,NA
010101,2019-07-01,NA,NA,0,-0.04081229946524064,NA,NA
010101,2019-08-01,NA,NA,0,-0.048492513368983955,NA,NA
010101,2019-09-01,NA,NA,0,-0.0733192513368984,NA,NA
010101,2019-10-01,NA,NA,0,-0.06340641711229947,NA,NA
010101,2019-11-01,NA,NA,0,-0.10573689839572194,NA,NA
010101,2019-12-01,9.43,-0.09967861383823315,0,-0.10014644575093534,4.6783191270218666e-4,0
010101,2020-01-01,23.45,4.589041017022253e-4,0,-0,4.589041017022253e-4,0
010101,2020-02-01,23.45,4.6381299399009127e-4,0,-0,4.6381299399009127e-4,0
010101,2020-03-01,23.45,4.693298587187397e-4,0,-0,4.693298587187397e-4,0
010101,2020-04-01,23.45,4.656934837513111e-4,0,-0,4.656934837513111e-4,0
010101,2020-05-01,23.45,4.4146766621458325e-4,0,-0,4.4146766621458325e-4,0
010101,2020-06-01,23.44,4.1112999551528884e-4,0,-0,4.1112999551528884e-4,0
010101,2020-07-01,21.69,-0.012105481909391822,0,-0.01248264815803524,3.771662486434184e-4,0
010101,2020-08-01,19.41,-0.02836800355502041,0,-0.028710090763481046,3.4208720846063626e-4,0
010101,2020-09-01,20.52,-0.020445772021429717,0,-0.020863854778430325,4.1808275700060913e-4,0
010101,2020-10-01,19.29,-0.029238936940766635,0,-0.029601708489054995,3.6277154828836026e-4,0
010101,2020-11-01,18.82,-0.032573224960558686,0,-0.03290069407367859,3.2746911311990325e-4,0
010101,2020-12-01,14.79,-0.06140681574385003,0,-0.06169994660971704,2.931308658670099e-4,0
